family,n,seed,field,A,logA,r_star
B4_random,2,3,linear,9.885530946569387,0.995,1.0
B4_random,2,3,linear,10.964781961431852,1.04,1.0
B4_random,2,3,linear,12.161860006463678,1.085,1.0
B4_random,2,3,linear,13.489628825916533,1.13,1.0
B4_random,2,3,linear,14.962356560944336,1.175,1.0
B4_random,2,3,linear,16.595869074375607,1.22,1.0
B4_random,2,3,linear,18.407720014689556,1.265,1.0
B4_random,2,3,linear,20.417379446695296,1.31,1.0
B4_random,2,3,linear,22.646443075930595,1.355,1.0
B4_random,2,3,linear,25.118864315095795,1.4,1.0
B4_random,2,4,linear,0.05011872336272722,-1.3,0.25012
B4_random,2,4,linear,0.05559042572704037,-1.255,0.255595
B4_random,2,4,linear,0.06165950018614822,-1.21,0.26166
B4_random,2,4,linear,0.06839116472814293,-1.165,0.268395
B4_random,2,4,linear,0.07585775750291836,-1.12,0.27586
B4_random,2,4,linear,0.08413951416451952,-1.075,0.28414
B4_random,2,4,linear,0.0933254300796991,-1.03,0.29333
B4_random,2,4,linear,0.10351421666793438,-0.985,0.303515
B4_random,2,4,linear,0.1148153621496883,-0.94,0.31482
B4_random,2,4,linear,0.12735030810166617,-0.895,0.327355
B4_random,2,4,linear,0.14125375446227545,-0.85,0.341255
B4_random,2,4,linear,0.15667510701081488,-0.805,0.34976
B4_random,2,4,linear,0.17378008287493754,-0.76,0.350375
B4_random,2,4,linear,0.1927524913190936,-0.715,0.351055
B4_random,2,4,linear,0.2137962089502232,-0.67,0.351815
B4_random,2,4,linear,0.23713737056616552,-0.625,0.352665
B4_random,2,4,linear,0.2630267991895382,-0.58,0.353605
B4_random,2,4,linear,0.29174270140011666,-0.535,0.35466
