family,n,E0,r,field,potential
B7_cantor,6,0.16666666666666666,0.8121,0.9606635550000013,0.7689423035051668
B7_cantor,6,0.16666666666666666,0.81215,0.9614365987500009,0.7689903560166044
B7_cantor,6,0.16666666666666666,0.8122,0.962207820000001,0.7690384471346668
B7_cantor,6,0.16666666666666666,0.81225,0.9629772187500009,0.7690865767682293
B7_cantor,6,0.16666666666666666,0.8123,0.963744795000001,0.7691347448261668
B7_cantor,6,0.16666666666666666,0.81235,0.9645105487500006,0.7691829512173542
B7_cantor,6,0.16666666666666666,0.8124,0.9652744800000008,0.7692311958506668
B7_cantor,6,0.16666666666666666,0.81245,0.9660365887500004,0.7692794786349793
B7_cantor,6,0.16666666666666666,0.8125,0.9667968750000006,0.7693277994791667
B7_cantor,6,0.16666666666666666,0.81255,0.9675553387500003,0.7693761582921043
B7_cantor,6,0.16666666666666666,0.8126,0.9683119800000005,0.7694245549826668
B7_cantor,6,0.16666666666666666,0.81265,0.9690667987500001,0.7694729894597293
B7_cantor,6,0.16666666666666666,0.8127,0.9698197950000004,0.7695214616321667
B7_cantor,6,0.16666666666666666,0.81275,0.9705709687499999,0.7695699714088543
B7_cantor,6,0.16666666666666666,0.8128,0.9713203200000001,0.7696185186986667
B7_cantor,6,0.16666666666666666,0.81285,0.9720678487499997,0.7696671034104793
B7_cantor,6,0.16666666666666666,0.8129,0.972813555,0.7697157254531667
B7_cantor,6,0.16666666666666666,0.81295,0.9735574387499996,0.7697643847356043
B7_cantor,6,0.16666666666666666,0.813,0.9742994999999998,0.7698130811666667
B7_cantor,6,0.16666666666666666,0.81305,0.9750397387500014,0.7698618146552293
B7_cantor,6,0.16666666666666666,0.8131,0.975778155000001,0.7699105851101669
B7_cantor,6,0.16666666666666666,0.81315,0.9765147487500012,0.7699593924403543
B7_cantor,6,0.16666666666666666,0.8132,0.9772495200000008,0.7700082365546668
B7_cantor,6,0.16666666666666666,0.81325,0.977982468750001,0.7700571173619793
B7_cantor,6,0.16666666666666666,0.8133,0.9787135950000007,0.7701060347711668
B7_cantor,6,0.16666666666666666,0.81335,0.9794428987500009,0.7701549886911043
B7_cantor,6,0.16666666666666666,0.8134,0.9801703800000005,0.7702039790306668
B7_cantor,6,0.16666666666666666,0.81345,0.9808960387500008,0.7702530056987293
B7_cantor,6,0.16666666666666666,0.8135,0.9816198750000004,0.7703020686041668
B7_cantor,6,0.16666666666666666,0.81355,0.9823418887500006,0.7703511676558543
B7_cantor,6,0.16666666666666666,0.8136,0.9830620800000002,0.7704003027626668
B7_cantor,6,0.16666666666666666,0.81365,0.9837804487500004,0.7704494738334793
B7_cantor,6,0.16666666666666666,0.8137,0.9844969950000001,0.7704986807771668
B7_cantor,6,0.16666666666666666,0.81375,0.9852117187500002,0.7705479235026043
B7_cantor,6,0.16666666666666666,0.8138,0.9859246199999999,0.7705972019186668
B7_cantor,6,0.16666666666666666,0.81385,0.9866356987500001,0.7706465159342293
B7_cantor,6,0.16666666666666666,0.8139,0.9873449549999999,0.7706958654581667
B7_cantor,6,0.16666666666666666,0.81395,0.98805238875,0.7707452503993543
B7_cantor,6,0.16666666666666666,0.814,0.9887579999999996,0.7707946706666667
B7_cantor,6,0.16666666666666666,0.81405,0.989461788750001,0.7708441261689793
B7_cantor,6,0.16666666666666666,0.8141,0.9901637550000013,0.7708936168151669
B7_cantor,6,0.16666666666666666,0.81415,0.9908638987500009,0.7709431425141043
B7_cantor,6,0.16666666666666666,0.8142,0.9915622200000012,0.7709927031746668
B7_cantor,6,0.16666666666666666,0.81425,0.9922587187500008,0.7710422987057293
B7_cantor,6,0.16666666666666666,0.8143,0.9929533950000009,0.7710919290161669
B7_cantor,6,0.16666666666666666,0.81435,0.9936462487500006,0.7711415940148543
B7_cantor,6,0.16666666666666666,0.8144,0.9943372800000009,0.7711912936106669
B7_cantor,6,0.16666666666666666,0.81445,0.9950264887500005,0.7712410277124793
B7_cantor,6,0.16666666666666666,0.8145,0.9957138750000006,0.7712907962291667
B7_cantor,6,0.16666666666666666,0.81455,0.9963994387500003,0.7713405990696043
B7_cantor,6,0.16666666666666666,0.8146,0.9970831800000005,0.7713904361426668
B7_cantor,6,0.16666666666666666,0.81465,0.9977650987500002,0.7714403073572292
B7_cantor,6,0.16666666666666666,0.8147,0.9984451950000003,0.7714902126221668
B7_cantor,6,0.16666666666666666,0.81475,0.99912346875,0.7715401518463543
B7_cantor,6,0.16666666666666666,0.8148,0.9997999200000003,0.7715901249386667
B7_cantor,6,0.16666666666666666,0.81485,1.00047454875,0.7716401318079793
B7_cantor,6,0.16666666666666666,0.8149,1.001147355,0.7716901723631667
B7_cantor,6,0.16666666666666666,0.81495,1.0018183387499997,0.7717402465131042
B7_cantor,6,0.16666666666666666,0.815,1.0024875,0.7717903541666667
B7_cantor,6,0.16666666666666666,0.81505,1.0031548387500013,0.7718404952327294
B7_cantor,6,0.16666666666666666,0.8151,1.003820355000001,0.7718906696201668
B7_cantor,6,0.16666666666666666,0.81515,1.0044840487500013,0.7719408772378543
B7_cantor,6,0.16666666666666666,0.8152,1.0051459200000008,0.7719911179946668
B7_cantor,6,0.16666666666666666,0.81525,1.005805968750001,0.7720413917994793
B7_cantor,6,0.16666666666666666,0.8153,1.0064641950000008,0.7720916985611668
B7_cantor,6,0.16666666666666666,0.81535,1.007120598750001,0.7721420381886043
B7_cantor,6,0.16666666666666666,0.8154,1.0077751800000005,0.7721924105906668
B7_cantor,6,0.16666666666666666,0.81545,1.0084279387500008,0.7722428156762293
B7_cantor,6,0.16666666666666666,0.8155,1.0090788750000004,0.7722932533541668
B7_cantor,6,0.16666666666666666,0.81555,1.0097279887500006,0.7723437235333542
B7_cantor,6,0.16666666666666666,0.8156,1.0103752800000003,0.7723942261226667
B7_cantor,6,0.16666666666666666,0.81565,1.0110207487500005,0.7724447610309793
B7_cantor,6,0.16666666666666666,0.8157,1.0116643950000002,0.7724953281671667
B7_cantor,6,0.16666666666666666,0.81575,1.0123062187500003,0.7725459274401043
