family,n,seed,ell,P,W
B5_shuffled,2,22,0.1,0.0,0.0
B5_shuffled,2,22,0.2,1.5561609791,0.07524819075005873
B5_shuffled,2,22,0.3333,2.2499999995999995,0.25
B5_shuffled,2,23,0.002,0.0,0.0
B5_shuffled,2,23,0.005,0.0,0.0
B5_shuffled,2,23,0.01,0.0,0.0
B5_shuffled,2,23,0.02,0.0,0.0
B5_shuffled,2,23,0.05,0.0,0.0
B5_shuffled,2,23,0.1,0.0,0.0
B5_shuffled,2,23,0.2,1.5561609791,0.07524819075005873
B5_shuffled,2,23,0.3333,2.2499999995999995,0.25
B5_shuffled,2,24,0.002,0.0,0.0
B5_shuffled,2,24,0.005,0.0,0.0
B5_shuffled,2,24,0.01,0.0,0.0
B5_shuffled,2,24,0.02,0.0,0.0
B5_shuffled,2,24,0.05,0.0,0.0
B5_shuffled,2,24,0.1,0.0,0.0
B5_shuffled,2,24,0.2,1.5561609791,0.07524819075005873
B5_shuffled,2,24,0.3333,2.2499999996000004,0.25
B6_center_anchored,2,1,0.002,0.0,0.0
B6_center_anchored,2,1,0.005,0.0,0.0
B6_center_anchored,2,1,0.01,0.0,0.0
B6_center_anchored,2,1,0.02,0.0,0.0
B6_center_anchored,2,1,0.05,0.0,0.0
B6_center_anchored,2,1,0.1,0.0,0.0
B6_center_anchored,2,1,0.2,1.556194297499998,0.07524819047343745
B6_center_anchored,2,1,0.3333,2.2500000000000004,0.25
B6_center_anchored,2,2,0.002,0.0,0.0
B6_center_anchored,2,2,0.005,0.0,0.0
B6_center_anchored,2,2,0.01,0.0,0.0
B6_center_anchored,2,2,0.02,0.0,0.0
B6_center_anchored,2,2,0.05,0.0,0.0
B6_center_anchored,2,2,0.1,0.0,0.0
B6_center_anchored,2,2,0.2,1.556194297499999,0.07524819047343745
B6_center_anchored,2,2,0.3333,2.25,0.25
B6_center_anchored,2,3,0.002,0.0,0.0
B6_center_anchored,2,3,0.005,0.0,0.0
B6_center_anchored,2,3,0.01,0.0,0.0
B6_center_anchored,2,3,0.02,0.0,0.0
B6_center_anchored,2,3,0.05,0.0,0.0
B6_center_anchored,2,3,0.1,0.0,0.0
B6_center_anchored,2,3,0.2,1.556194297499999,0.07524819047343745
B6_center_anchored,2,3,0.3333,2.25,0.25
B6_center_anchored,2,4,0.002,0.0,0.0
B6_center_anchored,2,4,0.005,0.0,0.0
B6_center_anchored,2,4,0.01,0.0,0.0
B6_center_anchored,2,4,0.02,0.0,0.0
B6_center_anchored,2,4,0.05,0.0,0.0
B6_center_anchored,2,4,0.1,0.0,0.0
B6_center_anchored,2,4,0.2,1.556194297499998,0.07524819047343745
B6_center_anchored,2,4,0.3333,2.2500000000000004,0.25
B6_center_anchored,2,5,0.002,0.0,0.0
B6_center_anchored,2,5,0.005,0.0,0.0
B6_center_anchored,2,5,0.01,0.0,0.0
B6_center_anchored,2,5,0.02,0.0,0.0
B6_center_anchored,2,5,0.05,0.0,0.0
B6_center_anchored,2,5,0.1,0.0,0.0
B6_center_anchored,2,5,0.2,1.556194297499999,0.07524819047343745
B6_center_anchored,2,5,0.3333,2.25,0.25
B6_center_anchored,2,6,0.002,0.0,0.0
B6_center_anchored,2,6,0.005,0.0,0.0
B6_center_anchored,2,6,0.01,0.0,0.0
B6_center_anchored,2,6,0.02,0.0,0.0
B6_center_anchored,2,6,0.05,0.0,0.0
B6_center_anchored,2,6,0.1,0.0,0.0
B6_center_anchored,2,6,0.2,1.556194297499999,0.07524819047343745
B6_center_anchored,2,6,0.3333,2.25,0.25
B6_center_anchored,2,7,0.002,0.0,0.0
B6_center_anchored,2,7,0.005,0.0,0.0
B6_center_anchored,2,7,0.01,0.0,0.0
B6_center_anchored,2,7,0.02,0.0,0.0
B6_center_anchored,2,7,0.05,0.0,0.0
B6_center_anchored,2,7,0.1,0.0,0.0
B6_center_anchored,2,7,0.2,1.556194297499999,0.07524819047343745
B6_center_anchored,2,7,0.3333,2.25,0.25
B6_center_anchored,2,8,0.002,0.0,0.0
B6_center_anchored,2,8,0.005,0.0,0.0
B6_center_anchored,2,8,0.01,0.0,0.0
B6_center_anchored,2,8,0.02,0.0,0.0
B6_center_anchored,2,8,0.05,0.0,0.0
B6_center_anchored,2,8,0.1,0.0,0.0
B6_center_anchored,2,8,0.2,1.556194297499998,0.07524819047343745
B6_center_anchored,2,8,0.3333,2.2500000000000004,0.25
B6_center_anchored,2,9,0.002,0.0,0.0
B6_center_anchored,2,9,0.005,0.0,0.0
B6_center_anchored,2,9,0.01,0.0,0.0
B6_center_anchored,2,9,0.02,0.0,0.0
B6_center_anchored,2,9,0.05,0.0,0.0
B6_center_anchored,2,9,0.1,0.0,0.0
B6_center_anchored,2,9,0.2,1.556194297499998,0.07524819047343745
B6_center_anchored,2,9,0.3333,2.2500000000000004,0.25
B6_center_anchored,2,10,0.002,0.0,0.0
B6_center_anchored,2,10,0.005,0.0,0.0
B6_center_anchored,2,10,0.01,0.0,0.0
B6_center_anchored,2,10,0.02,0.0,0.0
B6_center_anchored,2,10,0.05,0.0,0.0
B6_center_anchored,2,10,0.1,0.0,0.0
B6_center_anchored,2,10,0.2,1.556194297499999,0.07524819047343745
B6_center_anchored,2,10,0.3333,2.25,0.25
B6_center_anchored,2,11,0.002,0.0,0.0
B6_center_anchored,2,11,0.005,0.0,0.0
B6_center_anchored,2,11,0.01,0.0,0.0
B6_center_anchored,2,11,0.02,0.0,0.0
B6_center_anchored,2,11,0.05,0.0,0.0
B6_center_anchored,2,11,0.1,0.0,0.0
B6_center_anchored,2,11,0.2,1.556194297499998,0.07524819047343745
B6_center_anchored,2,11,0.3333,2.2500000000000004,0.25
B6_center_anchored,2,12,0.002,0.0,0.0
B6_center_anchored,2,12,0.005,0.0,0.0
B6_center_anchored,2,12,0.01,0.0,0.0
B6_center_anchored,2,12,0.02,0.0,0.0
B6_center_anchored,2,12,0.05,0.0,0.0
B6_center_anchored,2,12,0.1,0.0,0.0
B6_center_anchored,2,12,0.2,1.556194297499999,0.07524819047343745
B6_center_anchored,2,12,0.3333,2.25,0.25
B6_center_anchored,2,13,0.002,0.0,0.0
B6_center_anchored,2,13,0.005,0.0,0.0
B6_center_anchored,2,13,0.01,0.0,0.0
B6_center_anchored,2,13,0.02,0.0,0.0
B6_center_anchored,2,13,0.05,0.0,0.0
B6_center_anchored,2,13,0.1,0.0,0.0
B6_center_anchored,2,13,0.2,1.556194297499998,0.07524819047343745
B6_center_anchored,2,13,0.3333,2.2500000000000004,0.25
B6_center_anchored,2,14,0.002,0.0,0.0
B6_center_anchored,2,14,0.005,0.0,0.0
B6_center_anchored,2,14,0.01,0.0,0.0
B6_center_anchored,2,14,0.02,0.0,0.0
B6_center_anchored,2,14,0.05,0.0,0.0
B6_center_anchored,2,14,0.1,0.0,0.0
B6_center_anchored,2,14,0.2,1.556194297499998,0.07524819047343745
B6_center_anchored,2,14,0.3333,2.2500000000000004,0.25
B6_center_anchored,2,15,0.002,0.0,0.0
B6_center_anchored,2,15,0.005,0.0,0.0
B6_center_anchored,2,15,0.01,0.0,0.0
B6_center_anchored,2,15,0.02,0.0,0.0
B6_center_anchored,2,15,0.05,0.0,0.0
B6_center_anchored,2,15,0.1,0.0,0.0
B6_center_anchored,2,15,0.2,1.556194297499999,0.07524819047343745
B6_center_anchored,2,15,0.3333,2.25,0.25
B6_center_anchored,2,16,0.002,0.0,0.0
B6_center_anchored,2,16,0.005,0.0,0.0
B6_center_anchored,2,16,0.01,0.0,0.0
B6_center_anchored,2,16,0.02,0.0,0.0
B6_center_anchored,2,16,0.05,0.0,0.0
B6_center_anchored,2,16,0.1,0.0,0.0
B6_center_anchored,2,16,0.2,1.556194297499998,0.07524819047343745
B6_center_anchored,2,16,0.3333,2.2500000000000004,0.25
B6_center_anchored,2,17,0.002,0.0,0.0
B6_center_anchored,2,17,0.005,0.0,0.0
B6_center_anchored,2,17,0.01,0.0,0.0
B6_center_anchored,2,17,0.02,0.0,0.0
B6_center_anchored,2,17,0.05,0.0,0.0
B6_center_anchored,2,17,0.1,0.0,0.0
B6_center_anchored,2,17,0.2,1.556194297499999,0.07524819047343745
B6_center_anchored,2,17,0.3333,2.25,0.25
B6_center_anchored,2,18,0.002,0.0,0.0
B6_center_anchored,2,18,0.005,0.0,0.0
B6_center_anchored,2,18,0.01,0.0,0.0
B6_center_anchored,2,18,0.02,0.0,0.0
B6_center_anchored,2,18,0.05,0.0,0.0
B6_center_anchored,2,18,0.1,0.0,0.0
B6_center_anchored,2,18,0.2,1.556194297499999,0.07524819047343745
B6_center_anchored,2,18,0.3333,2.25,0.25
