family,n,seed,kstar,D,peak_k
B1_constant,4,0,1,0.5,4.5
B1_constant,4,0,2,1.0,6.75
B1_constant,4,0,3,1.0,10.125
B1_constant,4,0,4,1.0,15.1875
B2_central,4,0,1,0.5,4.5
B2_central,4,0,2,1.0,6.75
B2_central,4,0,3,1.0,10.125
B2_central,4,0,4,1.0,15.1875
B3_periodic,4,0,1,0.23456790123456786,1.125
B3_periodic,4,0,2,0.4135802469135802,1.6875
B3_periodic,4,0,3,0.6234567901234568,2.53125
B3_periodic,4,0,4,0.808641975308642,3.796875
B7_cantor,4,0,1,0.18518518518518523,1.125
B7_cantor,4,0,2,0.37037037037037035,1.6875
B7_cantor,4,0,3,0.37037037037037035,2.53125
B7_cantor,4,0,4,0.37037037037037035,3.796875
B4_random,4,1,1,0.21504502255250357,1.125
B4_random,4,1,2,0.3915146340196646,1.6875
B4_random,4,1,3,0.3915146340196646,2.53125
B4_random,4,1,4,0.41642607261999975,3.796875
B4_random,4,2,1,0.17973730322479353,1.125
B4_random,4,2,2,0.35259207554406957,1.6875
B4_random,4,2,3,0.35259207554406957,2.53125
B4_random,4,2,4,0.35259207554406957,3.796875
B4_random,4,3,1,0.17526902577177006,1.125
B4_random,4,3,2,0.3483062364189502,1.6875
B4_random,4,3,3,0.3483062364189502,2.53125
B4_random,4,3,4,0.3483062364189502,3.796875
B4_random,4,4,1,0.20103434131771802,1.125
B4_random,4,4,2,0.39052384615387803,1.6875
B4_random,4,4,3,0.39052384615387803,2.53125
B4_random,4,4,4,0.44337004636704236,3.796875
B4_random,4,5,1,0.1920075502597495,1.125
B4_random,4,5,2,0.359478844873684,1.6875
B4_random,4,5,3,0.359478844873684,2.53125
B4_random,4,5,4,0.359478844873684,3.796875
B4_random,4,6,1,0.19134214844201414,1.125
B4_random,4,6,2,0.36568628344200793,1.6875
B4_random,4,6,3,0.36568628344200793,2.53125
B4_random,4,6,4,0.3963167186400643,3.796875
B4_random,4,7,1,0.2295504828785771,1.125
B4_random,4,7,2,0.4080080630083968,1.6875
