n,h0,tau_S,tau_relax,tau_min,faster_than_relax,bound_violated,R_safe
3,0.2,0.3696152514660266,0.7347333311276486,0.07907774597245816,true,false,0.9877
4,0.2,0.4859535526334133,0.7347333311276486,0.07907774597245816,true,false,0.9838333333333333
5,0.2,0.5637220654058612,0.7347333311276486,0.07907774597245816,true,false,0.9812333333333334
6,0.2,0.6076136855891103,0.7347333311276486,0.07907774597245816,true,false,0.9797666666666667
7,0.2,0.6232989447328003,0.7347333311276486,0.07907774597245816,true,false,0.9792333333333333
8,0.2,0.6272999191647959,0.7347333311276486,0.07907774597245816,true,false,0.9791000000000001
9,0.2,0.6673754693803297,0.7347333311276486,0.07907774597245816,true,false,0.9777666666666668
10,0.2,0.683423603588504,0.7347333311276486,0.07907774597245816,true,false,0.9772333333333333
0,0.21,0.17618102198300162,0.6923563915330472,0.07331736711471529,true,false,0.29813333333333336
1,0.21,0.17653323288532796,0.6923563915330472,0.07331736711471529,true,false,0.9941
2,0.21,0.1833720202765205,0.6923563915330472,0.07331736711471529,true,false,0.9939
3,0.21,0.34042979195385964,0.6923563915330472,0.07331736711471529,true,false,0.9886333333333333
4,0.21,0.4512899449181115,0.6923563915330472,0.07331736711471529,true,false,0.9849666666666667
5,0.21,0.524161992355495,0.6923563915330472,0.07331736711471529,true,false,0.9825
6,0.21,0.5626468577255103,0.6923563915330472,0.07331736711471529,true,false,0.9812333333333334
7,0.21,0.5791728709186803,0.6923563915330472,0.07331736711471529,true,false,0.9807
8,0.21,0.583108483247619,0.6923563915330472,0.07331736711471529,true,false,0.9805666666666667
9,0.21,0.6075474436879276,0.6923563915330472,0.07331736711471529,true,false,0.9797666666666667
10,0.21,0.6373934972371484,0.6923563915330472,0.07331736711471529,true,false,0.9787666666666667
0,0.22,0.16816221022809655,0.6484922417689595,0.06753031974128765,true,false,0.2982666666666667
1,0.22,0.16847355488816732,0.6484922417689595,0.06753031974128765,true,false,0.9943666666666666
2,0.22,0.1691674504608112,0.6484922417689595,0.06753031974128765,true,false,0.9943666666666666
3,0.22,0.3173942382661603,0.6484922417689595,0.06753031974128765,true,false,0.9894333333333333
4,0.22,0.423902974492016,0.6484922417689595,0.06753031974128765,true,false,0.9859000000000001
5,0.22,0.4931878753672052,0.6484922417689595,0.06753031974128765,true,false,0.9835666666666667
6,0.22,0.5294413419021679,0.6484922417689595,0.06753031974128765,true,false,0.9823666666666667
7,0.22,0.5431768784508272,0.6484922417689595,0.06753031974128765,true,false,0.9819
8,0.22,0.5491931696821978,0.6484922417689595,0.06753031974128765,true,false,0.9817
9,0.22,0.5717287827134705,0.6484922417689595,0.06753031974128765,true,false,0.9809666666666668
10,0.22,0.6022012373516413,0.6484922417689595,0.06753031974128765,true,false,0.9799000000000001
0,0.23,0.15979429662697164,0.6030326865553659,0.06171635577162405,true,false,0.2985333333333333
1,0.23,0.1599352438944157,0.6030326865553659,0.06171635577162405,true,false,0.9947
2,0.23,0.1599352438944157,0.6030326865553659,0.06171635577162405,true,false,0.9947
3,0.23,0.30345355336551727,0.6030326865553659,0.06171635577162405,true,false,0.9899
4,0.23,0.4012130955069278,0.6030326865553659,0.06171635577162405,true,false,0.9866333333333334
5,0.23,0.463881537358914,0.6030326865553659,0.06171635577162405,true,false,0.9845666666666666
6,0.23,0.4935509266158115,0.6030326865553659,0.06171635577162405,true,false,0.9835666666666667
7,0.23,0.5015572090947773,0.6030326865553659,0.06171635577162405,true,false,0.9833000000000001
8,0.23,0.5101459793553068,0.6030326865553659,0.06171635577162405,true,false,0.9829666666666667
9,0.23,0.5290066222327443,0.6030326865553659,0.06171635577162405,true,false,0.9823666666666667
