control,n,h0,A,omega,alpha,R_cantor,R_ctrl_mean,R_ctrl_sd,delta,pct_rank
G2_random,7,0.94,0.5,1.0,0.8,0.8860333333333333,0.884608888888889,0.0006296586275344881,0.0014244444444443394,100.0
G2_random,8,0.94,0.5,1.0,0.8,0.8955666666666667,0.8919888888888888,0.0038843169622329444,0.003577777777777902,76.66666666666667
G2_random,1,0.98,0.5,1.0,0.8,0.8763666666666666,0.7417333333333335,0.1510278931888835,0.13463333333333316,46.666666666666664
G2_random,2,0.98,0.5,1.0,0.8,0.8857666666666667,0.8823266666666668,0.020453963634281026,0.0034399999999998876,83.33333333333333
G2_random,3,0.98,0.5,1.0,0.8,0.8851,0.8845288888888888,0.020081448584873596,0.0005711111111111888,76.66666666666667
G2_random,4,0.98,0.5,1.0,0.8,0.8848333333333334,0.8806,0.002684866057576496,0.004233333333333311,93.33333333333333
G2_random,5,0.98,0.5,1.0,0.8,0.8849666666666667,0.8811044444444445,0.001753195950505371,0.0038622222222222113,96.66666666666667
G2_random,6,0.98,0.5,1.0,0.8,0.8854333333333333,0.8822355555555556,0.0011089995261109862,0.003197777777777744,100.0
G2_random,7,0.98,0.5,1.0,0.8,0.8860333333333333,0.8835,0.0007895874086268407,0.0025333333333333874,100.0
G2_random,8,0.98,0.5,1.0,0.8,0.8955666666666667,0.8916177777777778,0.004353135421152383,0.003948888888888891,71.66666666666667
G2_random,1,0.02,0.5,4.0,0.8,0.9831666666666667,0.9351599999999999,0.052855362099620454,0.048006666666666864,88.33333333333333
G2_random,2,0.02,0.5,4.0,0.8,0.9395000000000001,0.95508,0.014177107984514957,-0.015579999999999927,10.0
G2_random,3,0.02,0.5,4.0,0.8,0.9437666666666666,0.9505222222222223,0.010396452877752873,-0.006755555555555626,30.0
G2_random,4,0.02,0.5,4.0,0.8,0.9427666666666668,0.9411933333333332,0.00752598767082806,0.0015733333333335375,76.66666666666667
G2_random,5,0.02,0.5,4.0,0.8,0.9421666666666667,0.9400866666666665,0.006554654396142757,0.002080000000000193,83.33333333333333
G2_random,6,0.02,0.5,4.0,0.8,0.9419000000000001,0.9379866666666666,0.0020575736184648033,0.003913333333333435,96.66666666666667
G2_random,7,0.02,0.5,4.0,0.8,0.9417666666666666,0.9371555555555556,0.0014998424778932548,0.00461111111111101,96.66666666666667
G2_random,8,0.02,0.5,4.0,0.8,0.9419000000000001,0.9389777777777777,0.0007954050672110951,0.0029222222222223815,100.0
G2_random,1,0.06,0.5,4.0,0.8,0.9847,0.9441933333333332,0.06231198872365829,0.0405066666666668,81.66666666666667
G2_random,2,0.06,0.5,4.0,0.8,0.9395000000000001,0.962928888888889,0.013568339113873453,-0.023428888888888832,0.0
