rho,centre,eps,pid,safe,eta,C_mean,C_rms,C95,C_max,m_mean,m_std,m_min
0.28,tau_beh,0.0,bb895dc93af2bf7b,1.0,0.5286779942070982,0.012508550861901266,0.01573600009168996,0.026784471883755642,0.029115136885976778,0.16968809192379317,5.533819516499837,-26.32982063293457
0.28,tau_beh,0.0,7a9a756a1752fe33,1.0,0.5286779942070982,0.012508550861901266,0.01573600009168996,0.026784471883755642,0.029115136885976778,0.16968809192379317,5.533819516499837,-26.32982063293457
0.28,tau_beh,0.0,a86f58a8f0c230b8,0.0080971659919028,0.5286779942070982,0.012508550861901266,0.01573600009168996,0.026784471883755642,0.029115136885976778,0.16968809192379317,5.533819516499837,-26.32982063293457
0.28,tau_beh,0.0,e5ce6bba1c9ee577,0.0,0.5286779942070982,0.012508550861901266,0.01573600009168996,0.026784471883755642,0.029115136885976778,0.16968809192379317,5.533819516499837,-26.32982063293457
0.28,tau_beh,0.0,110e7e7cf81dfa9e,1.0,0.5286779942070982,0.012508550861901266,0.01573600009168996,0.026784471883755642,0.029115136885976778,0.16968809192379317,5.533819516499837,-26.32982063293457
0.28,tau_beh,0.0,33e83cc44233ba4c,1.0,0.5286779942070982,0.012508550861901266,0.01573600009168996,0.026784471883755642,0.029115136885976778,0.16968809192379317,5.533819516499837,-26.32982063293457
0.28,tau_beh,0.0,b8a7c966b3ea9432,1.0,0.5286779942070982,0.012508550861901266,0.01573600009168996,0.026784471883755642,0.029115136885976778,0.16968809192379317,5.533819516499837,-26.32982063293457
0.28,tau_beh,0.0,4140287f9e9f9e2d,0.007194244604316502,0.5286779942070982,0.012508550861901266,0.01573600009168996,0.026784471883755642,0.029115136885976778,0.16968809192379317,5.533819516499837,-26.32982063293457
0.28,tau_beh,0.0,2399bd700a195ada,0.0,0.5286779942070982,0.012508550861901266,0.01573600009168996,0.026784471883755642,0.029115136885976778,0.16968809192379317,5.533819516499837,-26.32982063293457
0.28,tau_beh,0.0,7c86f783566f7a91,0.0,0.5286779942070982,0.012508550861901266,0.01573600009168996,0.026784471883755642,0.029115136885976778,0.16968809192379317,5.533819516499837,-26.32982063293457
0.28,tau_beh,0.0,17ca31af07cda4d4,0.0,0.5286779942070982,0.012508550861901266,0.01573600009168996,0.026784471883755642,0.029115136885976778,0.16968809192379317,5.533819516499837,-26.32982063293457
0.28,tau_beh,0.0,4d3a88c9c4b2ce56,1.0,0.5286779942070982,0.012508550861901266,0.01573600009168996,0.026784471883755642,0.029115136885976778,0.16968809192379317,5.533819516499837,-26.32982063293457
0.28,tau_beh,0.0,16485ffa6a3a5b20,1.0,0.5286779942070982,0.012508550861901266,0.01573600009168996,0.026784471883755642,0.029115136885976778,0.16968809192379317,5.533819516499837,-26.32982063293457
0.28,tau_beh,0.0,09554f9314313466,0.0,0.5286779942070982,0.012508550861901266,0.01573600009168996,0.026784471883755642,0.029115136885976778,0.16968809192379317,5.533819516499837,-26.32982063293457
0.28,tau_beh,0.0,6142b5b5afeeafed,1.0,0.5286779942070982,0.012508550861901266,0.01573600009168996,0.026784471883755642,0.029115136885976778,0.16968809192379317,5.533819516499837,-26.32982063293457
0.28,tau_beh,0.0,716727c8653a0e34,0.0,0.5286779942070982,0.012508550861901266,0.01573600009168996,0.026784471883755642,0.029115136885976778,0.16968809192379317,5.533819516499837,-26.32982063293457
0.28,tau_beh,0.0,b54ecec25db1fbb5,0.0,0.5286779942070982,0.012508550861901266,0.01573600009168996,0.026784471883755642,0.029115136885976778,0.16968809192379317,5.533819516499837,-26.32982063293457
0.28,tau_beh,0.0,13eaf8ffc98c7c17,1.0,0.5286779942070982,0.012508550861901266,0.01573600009168996,0.026784471883755642,0.029115136885976778,0.16968809192379317,5.533819516499837,-26.32982063293457
0.28,tau_beh,0.0,ac5db72aeed08e5e,1.0,0.5286779942070982,0.012508550861901266,0.01573600009168996,0.026784471883755642,0.029115136885976778,0.16968809192379317,5.533819516499837,-26.32982063293457
0.28,tau_beh,0.0,a554caf5e909d64c,0.007575757575757569,0.5286779942070982,0.012508550861901266,0.01573600009168996,0.026784471883755642,0.029115136885976778,0.16968809192379317,5.533819516499837,-26.32982063293457
0.28,tau_beh,0.0,442903eb1d36c065,0.0,0.5286779942070982,0.012508550861901266,0.01573600009168996,0.026784471883755642,0.029115136885976778,0.16968809192379317,5.533819516499837,-26.32982063293457
0.28,tau_beh,0.0,ccae0048a478043e,1.0,0.5286779942070982,0.012508550861901266,0.01573600009168996,0.026784471883755642,0.029115136885976778,0.16968809192379317,5.533819516499837,-26.32982063293457
0.28,tau_beh,0.0,2b7b7a5dd644a39f,0.0,0.5286779942070982,0.012508550861901266,0.01573600009168996,0.026784471883755642,0.029115136885976778,0.16968809192379317,5.533819516499837,-26.32982063293457
0.28,tau_beh,0.0,edab2e22229a341f,0.0,0.5286779942070982,0.012508550861901266,0.01573600009168996,0.026784471883755642,0.029115136885976778,0.16968809192379317,5.533819516499837,-26.32982063293457
0.28,tau_beh,0.0,c7d15616d40cb735,1.0,0.5286779942070982,0.012508550861901266,0.01573600009168996,0.026784471883755642,0.029115136885976778,0.16968809192379317,5.533819516499837,-26.32982063293457
0.28,tau_beh,0.0,9c019541c596ea36,0.008510638297872353,0.5286779942070982,0.012508550861901266,0.01573600009168996,0.026784471883755642,0.029115136885976778,0.16968809192379317,5.533819516499837,-26.32982063293457
0.28,tau_beh,0.0,116eb9a7506e1d7c,1.0,0.5286779942070982,0.012508550861901266,0.01573600009168996,0.026784471883755642,0.029115136885976778,0.16968809192379317,5.533819516499837,-26.32982063293457
0.28,tau_beh,0.0,abf29c5a95afe44d,1.0,0.5286779942070982,0.012508550861901266,0.01573600009168996,0.026784471883755642,0.029115136885976778,0.16968809192379317,5.533819516499837,-26.32982063293457
0.28,tau_beh,0.0,b7d63b0cb905d40e,0.0,0.5286779942070982,0.012508550861901266,0.01573600009168996,0.026784471883755642,0.029115136885976778,0.16968809192379317,5.533819516499837,-26.32982063293457
0.28,tau_beh,0.0,f4147c365767e9ee,0.009009009009009028,0.5286779942070982,0.012508550861901266,0.01573600009168996,0.026784471883755642,0.029115136885976778,0.16968809192379317,5.533819516499837,-26.32982063293457
0.28,tau_beh,0.0,ec2ff11ddd180eea,0.0,0.5286779942070982,0.012508550861901266,0.01573600009168996,0.026784471883755642,0.029115136885976778,0.16968809192379317,5.533819516499837,-26.32982063293457
