rho,pid,auc
0.4,2982eb379acc1dcf,0.0018706920319823302
0.4,2a7630b9ddded8d5,0.2024752475247525
0.4,3159f31edc896059,0.00081967213114754
0.4,3605a51c50d5daa0,0.0030288720992984
0.4,38e3fe88a50cb3ef,0.0
0.4,3a831f177b4c7882,0.001136363636363625
0.4,41450c0e975a1c31,0.0033602976312376146
0.4,4381c0fb4c396040,0.25
0.4,44e03bc01ee3055a,0.35
0.4,47bf27669a8fa08a,0.010576295729061104
0.4,486ee1ca9e71adc6,0.0
0.4,4910c9193fca9a21,0.0034291431690012405
0.4,4a78cd4f429333ac,0.006273503105530484
0.4,4d3a619d3d16b595,0.3513636363636364
0.4,4e12766ab5ee9a6f,0.003209170936801985
0.4,5406f38bad958fff,0.1
0.4,5b6660299c28d21a,0.1048614728865735
0.4,5d8a6dda9c034943,0.0
0.4,6354b26bfd6b0d3b,0.003506613590703315
0.4,663b72de42e74e86,0.001339285714285695
0.4,66eb648c6256c151,0.0019685039370078506
0.4,67f63c1627c03412,0.2558953815323432
0.4,6d1d8e613ece86e7,0.003938301576791985
0.4,6f3466b968e73ba3,0.2558713620186734
0.4,71fe74132803f26b,0.0
0.4,76825b753db42030,0.20132743362831856
0.4,78001bdfb89f1ad1,0.20141509433962262
0.4,7b925779bf22fd74,0.005776606527171151
0.4,7be724e7d2299999,0.006695710126833926
0.4,82da82d3e55219a5,0.011465992647058807
0.4,8acfa77cf5234bd4,0.00697564670800239
0.4,9332a9cf5d92314a,0.004092119940934785
0.4,9f60113cec74b0ee,0.0021522437094004198
0.4,a2f68f9c135648a0,0.1
0.4,a3ecb75bd15d05d8,0.1
0.4,a4a471e79162ce6a,0.00136363636363635
0.4,aa0070de67183c08,0.001930501930501925
0.4,aa6bc6d9ff6d7768,0.20135746606334842
0.4,acd5a3fd547677f6,0.0036645021645021507
0.4,b5124e1b88000bd7,0.0013513513513513501
0.4,b62f26029c55da5d,0.10405405405405403
0.4,b7036711cecf282e,0.20515724680599035
0.4,bc83dba623c24f83,0.0030065359477123898
0.4,bd981ed06e640944,0.005665856260012245
0.4,c0b0a6fd8196e526,0.35
0.4,c0da6f9a810ac96e,0.0
0.4,c4e140c6b10a0649,0.003754152823920235
0.4,ceab4fde9bc557e9,0.0038461538461538394
0.4,cfd0baecd1304030,0.45625
0.4,d437bb99475d3d83,0.003125
0.4,df593c445aa37cdd,0.007135787476668555
0.4,e0cbaf79c0d6e3eb,0.10413373860182369
0.4,e3664a91fc92d1d6,0.004292278631899829
0.4,e55575bab6cd051d,0.00121457489878542
0.4,eac6ec2b274f3fe8,0.011898947434509971
0.4,eb5cda6e1fe9f6b5,0.21126780415583823
0.4,ecbc64034f374904,0.25316503748695074
0.4,f16d6af3f8b8b330,0.20362084008475628
0.4,f2e24c35c5249c8b,0.004088694148301415
0.44,018ccdd70b67d50b,0.20543802948052975
0.44,0545ede9161cd87b,0.35
0.44,0822110b214bf434,0.4048405848041307
0.44,0dbb1e13fa00f0f6,0.101171875
0.44,0e2ca3a9a1e8e218,0.1
0.44,101df2256aecf75b,0.1
