gate_family,n,beta,h0,A,omega,alpha,gate_at_h0,gate_at_safe_lo,gate_at_safe_hi,gate_at_half,invariance_margin,R_safe,R_safe_rect,tau_S,D_max,D_mean,T_rec,R_gate,h_end
G6_smooth_cantor,3,5.0,0.46,0.5,16.0,0.8,1.0,1.0,1.0,1.0,-0.3666666666666667,1.0,1.0,0.0,0.03999999999999998,0.019873102616844763,0.0,1.0,0.525515396434566
G6_smooth_cantor,3,5.0,0.5,0.5,16.0,0.8,1.0,1.0,1.0,1.0,-0.3666666666666667,1.0,1.0,0.0,0.05794585671627295,0.02007753761676787,0.0,1.0,0.5255153964360767
G6_smooth_cantor,3,5.0,0.54,0.5,16.0,0.8,1.0,1.0,1.0,1.0,-0.3666666666666667,1.0,1.0,0.0,0.09233578829476996,0.02106203086523494,0.0,1.0,0.5255153964375874
G6_smooth_cantor,3,5.0,0.58,0.5,16.0,0.8,1.0,1.0,1.0,1.0,-0.3666666666666667,1.0,1.0,0.0,0.1268264777309297,0.022358681538443788,0.0,1.0,0.5255153964390983
G6_smooth_cantor,3,5.0,0.62,0.5,16.0,0.8,1.0,1.0,1.0,1.0,-0.3666666666666667,1.0,1.0,0.0,0.1614127027091503,0.023770671990369897,0.0,1.0,0.5255153964406072
G6_smooth_cantor,3,5.0,0.66,0.5,16.0,0.8,1.0,1.0,1.0,1.0,-0.3666666666666667,0.9932,0.9932004533031131,0.0,0.19609699033734074,0.025243141581626185,0.268,1.0,0.5255153964421175
G6_smooth_cantor,3,5.0,0.7,0.5,16.0,0.8,1.0,1.0,1.0,1.0,-0.3666666666666667,0.9859000000000001,0.9858676088260783,0.31749259567505894,0.23088238387854043,0.026754269408113665,0.624,1.0,0.5255153964436269
G6_smooth_cantor,3,5.0,0.74,0.5,16.0,0.8,1.0,1.0,1.0,1.0,-0.3666666666666667,0.9787,0.9786680887940804,0.39451564334828343,0.265772434691785,0.028286485010551487,0.67,1.0,0.5255153964451371
G6_smooth_cantor,3,5.0,0.78,0.5,16.0,0.8,1.0,1.0,1.0,1.0,-0.3666666666666667,0.9734333333333333,0.973401773215119,0.7052060711559207,0.300771192111296,0.02984145894179034,1.01,1.0,0.5255153964466461
G6_smooth_cantor,3,5.0,0.82,0.5,16.0,0.8,1.0,1.0,1.0,1.0,-0.3666666666666667,0.9689,0.9688687420838611,0.7473721140952868,0.33588319130553734,0.03140669537475175,1.048,1.0,0.5255153964481573
