n,beta,alpha,A,g_lo,g_hi,nagumo_margin,guaranteed,predicted_layer_width,escaped_S,max_dev
5,100.0,0.8,0.25,0.6469054314264527,0.6469054314264521,-0.028393024523279853,false,-0.0013353139262452262,false,0.16000000000000003
5,100.0,0.8,0.3,0.6469054314264527,0.6469054314264521,-0.06073829609460249,false,0.002231435513142094,false,0.16000000000000003
5,100.0,0.8,0.5,0.6469054314264527,0.6469054314264521,-0.19011938237989304,false,0.0101160091167848,false,0.16000000000000003
5,100.0,0.8,1.0,0.6469054314264527,0.6469054314264521,-0.5135720980931194,false,0.018718021769015915,true,0.2906785803741978
5,100.0,0.8,1.5,0.6469054314264527,0.6469054314264521,-0.8370248138063459,false,0.02327277705584417,true,0.2984373356509795
5,100.0,0.8,3.0,0.6469054314264527,0.6469054314264521,-1.807382960946025,false,0.03068052935133617,true,0.3064456119711336
5,250.0,0.8,0.1,0.47902607207805525,0.4790260720780553,0.0854307261255278,true,0.0,false,0.16000000000000003
5,250.0,0.8,0.2,0.47902607207805525,0.4790260720780553,0.03752811891772226,true,-0.0027725887222397796,false,0.16000000000000003
5,250.0,0.8,0.25,0.47902607207805525,0.4790260720780553,0.013576815313819504,true,-0.0005341255704980905,false,0.16000000000000003
5,250.0,0.8,0.3,0.47902607207805525,0.4790260720780553,-0.01037448829008325,false,0.0008925742052568376,false,0.16000000000000003
5,250.0,0.8,0.5,0.47902607207805525,0.4790260720780553,-0.10617970270569432,false,0.00404640364671392,false,0.16000000000000003
5,250.0,0.8,1.0,0.47902607207805525,0.4790260720780553,-0.34569273874472195,false,0.007487208707606365,false,0.16000000000000003
5,250.0,0.8,1.5,0.47902607207805525,0.4790260720780553,-0.5852057747837497,false,0.009309110822337669,false,0.16000000000000003
5,250.0,0.8,3.0,0.47902607207805525,0.4790260720780553,-1.3037448829008327,false,0.012272211740534469,false,0.16000000000000003
5,1000.0,0.8,0.1,0.4922362892966622,0.4922362892966631,0.08410970440366702,true,0.0,false,0.16000000000000003
5,1000.0,0.8,0.2,0.4922362892966622,0.4922362892966631,0.034886075474000716,true,-0.0006931471805599449,false,0.16000000000000003
5,1000.0,0.8,0.25,0.4922362892966622,0.4922362892966631,0.010274261009167562,true,-0.00013353139262452262,false,0.16000000000000003
5,1000.0,0.8,0.3,0.4922362892966622,0.4922362892966631,-0.014337553455665591,false,0.0002231435513142094,false,0.16000000000000003
5,1000.0,0.8,0.5,0.4922362892966622,0.4922362892966631,-0.1127848113149982,false,0.00101160091167848,false,0.16000000000000003
5,1000.0,0.8,1.0,0.4922362892966622,0.4922362892966631,-0.3589029559633298,false,0.0018718021769015914,false,0.16000000000000003
5,1000.0,0.8,1.5,0.4922362892966622,0.4922362892966631,-0.6050211006116613,false,0.0023272777055844173,false,0.16000000000000003
5,1000.0,0.8,3.0,0.4922362892966622,0.4922362892966631,-1.3433755345566558,false,0.003068052935133617,false,0.16000000000000003
