pid,arm,rho,family,epsilon,h_clean_norm,q_attack,d_clean,d_attacked,d_corrected,risk_eligible,x_clean,x_attacked,r_R,cell_type,cell_index,policy_status,action,q_raw,q_ctrl,clipped,outside_risk_window,post_control_expected_sensor_displacement,refusal_proxy,coherence,output_length,degeneration,computational_reuse,reused_from
eb6d7d63acade426,CANTOR_0.36,0.36,ATTACK_W,0.0,17.880239565271914,0.0,0.5340295637427493,0.5340295637427493,0.5340295637427493,False,0.0,0.0,0.0,safe,,SAFE_SIDE,0.0,0.0,0.0,False,False,0.0,1,1.0,30,0,True,ATTACK_V@0
8dfe70427d27ea67,CANTOR_0.36,0.36,ATTACK_W,0.0,18.267899683940083,0.0,2.2789854737636084,2.2789854737636084,2.2789854737636084,False,0.0,0.0,0.0,safe,,SAFE_SIDE,0.0,0.0,0.0,False,False,0.0,1,1.0,8,0,True,ATTACK_V@0
3f3e81c5cdf3007e,CANTOR_0.36,0.36,ATTACK_W,0.0,17.954578290238494,0.0,2.0652689484232605,2.0652689484232605,2.0652689484232605,False,0.0,0.0,0.0,safe,,SAFE_SIDE,0.0,0.0,0.0,False,False,0.0,1,1.0,9,0,True,ATTACK_V@0
42f5c9e672f323ec,CANTOR_0.36,0.36,ATTACK_W,0.0,18.31553302682982,0.0,2.857682161389308,2.857682161389308,2.857682161389308,False,0.0,0.0,0.0,safe,,SAFE_SIDE,0.0,0.0,0.0,False,False,0.0,1,1.0,8,0,True,ATTACK_V@0
77aaa0711c52df43,CANTOR_0.36,0.36,ATTACK_W,0.0,18.28669651268384,0.0,1.0992068319577704,1.0992068319577704,1.0992068319577704,False,0.0,0.0,0.0,safe,,SAFE_SIDE,0.0,0.0,0.0,False,False,0.0,1,1.0,8,0,True,ATTACK_V@0
ee0b247e4e490e24,CANTOR_0.36,0.36,ATTACK_W,0.0,18.093446249682916,0.0,1.857802070215578,1.857802070215578,1.857802070215578,False,0.0,0.0,0.0,safe,,SAFE_SIDE,0.0,0.0,0.0,False,False,0.0,1,1.0,8,0,True,ATTACK_V@0
d734a048134b201e,CANTOR_0.36,0.36,ATTACK_W,0.0,18.42324396049325,0.0,1.8911188639034109,1.8911188639034109,1.8911188639034109,False,0.0,0.0,0.0,safe,,SAFE_SIDE,0.0,0.0,0.0,False,False,0.0,1,1.0,8,0,True,ATTACK_V@0
1538630ecc74ed93,CANTOR_0.36,0.36,ATTACK_W,0.0,18.50795868241217,0.0,0.1819194711239846,0.1819194711239846,0.1819194711239846,False,0.0,0.0,0.0,safe,,SAFE_SIDE,0.0,0.0,0.0,False,False,0.0,1,1.0,29,0,True,ATTACK_V@0
e0025cf6104b21fe,CANTOR_0.36,0.36,ATTACK_W,0.0,18.23248586769015,0.0,-0.0330371203353389,-0.0330371203353389,-0.0054506311542779,True,0.0330371203353389,0.0330371203353389,0.0240665379649541,leaf,0.0,RISK_ELIGIBLE,0.125,0.0048771615189116,0.0048771615189116,False,False,0.0275864891810603,1,1.0,29,0,True,ATTACK_V@0
a99ff80824549bc5,CANTOR_0.36,0.36,ATTACK_W,0.0,18.28974870174436,0.0,1.1835421382889597,1.1835421382889597,1.1835421382889597,False,0.0,0.0,0.0,safe,,SAFE_SIDE,0.0,0.0,0.0,False,False,0.0,1,1.0,8,0,True,ATTACK_V@0
